Article_ID,Title,QA_Quant_subtype,Applicable_items,N_A_items,Yes_count,Partial_count,No_count,Unclear_count,Score_raw,Score_percent,Quality_band,Profile_Yes_percent,Profile_Partial_percent,Profile_No_percent,Profile_Unclear_percent
A144,ADFIST: Adaptive Dynamic Fuzzy Inference System Tree Driven by Optimized Knowledge Base for Indoor Air Quality Assessment,Correlation (observational studies),25,5,23,1,1,0,23.5,94.0,Alta,92.0,4.0,4.0,0.0
A084,Explainable AI for rule reduction in fuzzy models for air pollution measurement adjustment,Correlation (observational studies),25,5,22,2,1,0,23.0,92.0,Alta,88.0,8.0,4.0,0.0
A135,Modeling indoor PM2.5 using Adaptive Dynamic Fuzzy Inference System Tree (ADFIST) on Internet of Things-based sensor network data,Correlation (observational studies),25,5,21,3,1,0,22.5,90.0,Alta,84.0,12.0,4.0,0.0
A136,Context-aware IoT-enabled framework to analyse and predict indoor air quality,Correlation (observational studies),25,5,21,3,1,0,22.5,90.0,Alta,84.0,12.0,4.0,0.0
A138,A novel application of fuzzy inference system optimized with particle swarm optimization and genetic algorithm for PM10 prediction,Experiments,30,0,25,4,1,0,27.0,90.0,Alta,83.33,13.33,3.33,0.0
A087,IoT-based filter management system using reinforced ANFIS for VOCs reduction in urban industrial facilities,Experiments,30,0,24,5,1,0,26.5,88.33,Alta,80.0,16.67,3.33,0.0
A028,Urban Air Quality Analysis Using Ensemble Learning - 2025 Eighth International Conference on Advances in Biomedical Engineering (ICABME),Correlation (observational studies),25,5,19,5,1,0,21.5,86.0,Alta,76.0,20.0,4.0,0.0
A149,Application of ARIMA Kalman Filter with Multi-Sensor Data Fusion Fuzzy Logic to Improve Indoor Air Quality Index Estimation,Correlation (observational studies),25,5,18,6,1,0,21.0,84.0,Alta,72.0,24.0,4.0,0.0
A142,A Fuzzy Inference System for the Assessment of Indoor Air Quality in an Operating Room to Prevent Surgical Site Infection,Experiments,30,0,21,6,3,0,24.0,80.0,Alta,70.0,20.0,10.0,0.0
A001,UAV-Based Hybrid Fuzzy Inference Framework for Symmetry and Asymmetry in Real-Time Air Quality Monitoring,Experiments,30,0,19,8,1,2,23.5,78.33,Media,63.33,26.67,3.33,6.67
A178,Personalised healthcare model for monitoring and prediction of airpollution: machine learning approach,Correlation (observational studies),25,5,16,7,2,0,19.5,78.0,Media,64.0,28.0,8.0,0.0
A114,Intelligent Factory with Environment Quality Control Based on Fuzzy Method through Deep Reinforcement Learning,Experiments,30,0,19,8,3,0,23.0,76.67,Media,63.33,26.67,10.0,0.0
A132,Neuro-Fuzzy Decision Support System for Optimization of the Indoor Air Quality in Operation Rooms,Experiments,30,0,18,10,2,0,23.0,76.67,Media,60.0,33.33,6.67,0.0
A123,Microcontroller-based air quality monitoring design using mamdani fuzzy method,Experiments,30,0,17,11,2,0,22.5,75.0,Media,56.67,36.67,6.67,0.0
A157,Application of a Fuzzy ARTMAP Neural Network for Indoor Air Quality Prediction,Correlation (observational studies),25,5,14,9,2,0,18.5,74.0,Media,56.0,36.0,8.0,0.0
A165,Implementation of Fuzzy Tsukamoto Algorithm on Smart Node Sensors for Air Quality Monitoring,Experiments,30,0,17,9,4,0,21.5,71.67,Media,56.67,30.0,13.33,0.0
A167,An intelligent IoT fuzzy based approach for automated indoor air quality monitoring,Experiments,30,0,17,9,4,0,21.5,71.67,Media,56.67,30.0,13.33,0.0
A168,Monitoring of air pollution to establish optimal less polluted path by utilizing wireless sensor network,Experiments,30,0,13,11,6,0,18.5,61.67,Media,43.33,36.67,20.0,0.0
A009,Air Quality Indices Prediction using Sugeno’s Fuzzy Logic - 2022 International Conference on IoT and Blockchain Technology (ICIBT),Quantitative Empirical Studies (no specific type),29,1,10,13,5,1,16.75,57.76,Baja,34.48,44.83,17.24,3.45
