value,k
WiFi,6
Cloud_Server,6
Other:MCU_Arduino,4
Other:MATLAB,4
MATLAB,3
Other:ESP8266,3
Other:ThingSpeak,3
Other:ESP32,3
Other:Python,2
NR,2
Bluetooth,2
Zigbee,2
Other:Arduino_Controllers,1
Other:Cloud_Data_Access,1
Other:NRF24L01_RF_Link,1
Other:SD_Logging,1
Other:Android_Studio,1
Other:Firebase,1
Other:Local_DB_Server,1
Other:MCU_CORTEX-M3,1
Other:CAN,1
Other:Ethernet,1
Other:MAX232,1
Other:ATMega32,1
Other:CodeVision_CVAVR,1
Other:WordPress,1
Other:IBM_SPSS,1
Other:AWS_IoT,1
Other:BLE,1
Other:BluEpyc,1
Other:LCD,1
Other:Thonny,1
Other:Google_Colab,1
Other:Gateway_LAN,1
Other:SGP30,1
Other:IoT_Sensor_Network,1
Other:JavaScript_Web_App,1
Other:RaspberryPi3,1
Other:PMS7003,1
Other:WP6003,1
Other:RaspberryPi,1
Other:LoRa,1
I2C,1
Other:Serial,1
Google_Sheets,1
HDFS_MapReduce,1
Google_Map,1
AWS_EC2,1
